year,mean_temperature_2m_max (Â°C)_quarter1,mean_temperature_2m_max (Â°C)_quarter2,mean_temperature_2m_max (Â°C)_quarter3,mean_temperature_2m_max (Â°C)_quarter4,mean_temperature_2m_min (Â°C)_quarter1,mean_temperature_2m_min (Â°C)_quarter2,mean_temperature_2m_min (Â°C)_quarter3,mean_temperature_2m_min (Â°C)_quarter4,mean_temperature_2m_mean (Â°C)_quarter1,mean_temperature_2m_mean (Â°C)_quarter2,mean_temperature_2m_mean (Â°C)_quarter3,mean_temperature_2m_mean (Â°C)_quarter4,mean_rain_sum (mm)_quarter1,mean_rain_sum (mm)_quarter2,mean_rain_sum (mm)_quarter3,mean_rain_sum (mm)_quarter4,mean_wind_speed_10m_max (km/h)_quarter1,mean_wind_speed_10m_max (km/h)_quarter2,mean_wind_speed_10m_max (km/h)_quarter3,mean_wind_speed_10m_max (km/h)_quarter4,mean_relative_humidity_2m (%)_quarter1,mean_relative_humidity_2m (%)_quarter2,mean_relative_humidity_2m (%)_quarter3,mean_relative_humidity_2m (%)_quarter4,mean_soil_temperature_0_to_7cm (Â°C)_quarter1,mean_soil_temperature_0_to_7cm (Â°C)_quarter2,mean_soil_temperature_0_to_7cm (Â°C)_quarter3,mean_soil_temperature_0_to_7cm (Â°C)_quarter4,mean_soil_moisture_0_to_7cm (mÂ³/mÂ³)_quarter1,mean_soil_moisture_0_to_7cm (mÂ³/mÂ³)_quarter2,mean_soil_moisture_0_to_7cm (mÂ³/mÂ³)_quarter3,mean_soil_moisture_0_to_7cm (mÂ³/mÂ³)_quarter4,district
1997,27.692222222222224,35.53296703296703,30.80652173913043,26.753260869565214,14.72,24.739560439560435,25.0195652173913,17.669565217391305,21.142222222222223,29.520879120879123,27.32065217391304,22.03260869565217,0.7677777777777779,4.98021978021978,11.291304347826086,1.15,11.28888888888889,14.713186813186814,12.366304347826082,8.98913043478261,60.73148148148148,65.64468864468864,87.02264492753623,74.18704710144928,22.796666666666667,31.159935897435897,28.240806159420288,23.325996376811595,0.1640226851851851,0.2443722527472527,0.4063052536231884,0.2284547101449275,bankura
1998,26.31111111111111,35.88681318681319,31.044565217391305,27.72608695652174,14.845555555555556,26.01648351648352,25.446739130434786,18.366304347826087,20.446666666666665,30.4076923076923,27.725,22.639130434782604,1.3255555555555556,3.171428571428572,6.754347826086955,1.3347826086956522,10.746666666666666,14.375824175824174,12.53804347826087,9.472826086956523,67.575,69.06501831501832,86.03442028985508,75.16394927536231,21.73134259259259,31.92115384615384,28.59175724637681,23.50421195652174,0.2038759259259259,0.2313663003663003,0.3851186594202898,0.2629682971014492,bankura
1999,29.563333333333333,35.45164835164835,30.55978260869565,27.70652173913044,15.5,25.73956043956043,24.85434782608696,17.365217391304345,22.495555555555555,30.12197802197802,27.118478260869573,22.25869565217392,0.0055555555555555,5.210989010989009,9.745652173913042,0.7706521739130435,11.600000000000003,15.11978021978022,12.055434782608694,10.430434782608696,52.45787037037037,69.125,86.85733695652173,69.87182971014492,24.405277777777776,32.26268315018315,28.06938405797101,23.421467391304347,0.1289990740740741,0.2536620879120879,0.4016902173913043,0.2173432971014492,bankura
2000,27.58021978021977,35.308791208791206,30.81847826086956,27.86521739130434,14.93736263736264,25.73736263736264,24.93913043478261,16.744565217391305,21.220879120879125,29.967032967032967,27.402173913043484,22.05434782608696,0.6318681318681318,3.5098901098901103,6.3478260869565215,0.9543478260869565,11.203296703296704,14.226373626373627,12.998913043478264,9.633695652173914,59.3058608058608,70.80815018315019,84.42391304347827,69.24954710144928,22.87266483516484,31.832875457875456,28.257427536231884,22.977898550724635,0.1659848901098901,0.2558017399267399,0.3786544384057971,0.2098944746376811,bankura
2001,28.521111111111107,33.76593406593406,30.711956521739136,27.61521739130435,14.386666666666668,24.603296703296703,24.946739130434786,17.84130434782609,21.41,28.70659340659341,27.265217391304343,22.39130434782609,0.6100000000000001,5.826373626373625,6.306521739130437,0.9,11.087777777777776,13.447252747252747,12.233695652173912,9.511956521739132,53.21574074074074,72.71245421245422,86.54302536231884,73.38496376811594,23.378425925925928,30.13740842490843,28.08360507246377,23.487907608695654,0.1334462962962963,0.2953543956043956,0.3934624094202898,0.230606884057971,bankura
2002,28.814444444444447,35.25054945054945,31.07282608695652,27.66521739130435,15.974444444444446,25.407692307692308,25.225,16.993478260869562,22.26111111111112,29.72967032967033,27.594565217391303,22.07065217391304,0.4177777777777778,7.37142857142857,6.643478260869564,0.8652173913043477,10.9,14.41098901098901,12.434782608695652,9.566304347826089,59.152314814814815,71.71016483516483,85.05072463768116,70.77309782608695,24.08787037037037,31.414010989011,28.42164855072464,23.01177536231884,0.1517930555555555,0.272956043956044,0.3927522644927537,0.2255964673913043,bankura
2003,27.556666666666672,36.89450549450549,30.43804347826088,26.59130434782609,15.03444444444444,25.93296703296704,25.10217391304348,16.866304347826084,21.03,30.92087912087912,27.263043478260872,21.40869565217391,1.0722222222222224,3.863736263736264,7.135869565217392,2.595652173913044,11.167777777777776,14.662637362637362,12.714130434782607,9.481521739130436,64.1537037037037,64.58516483516483,87.0163043478261,75.71557971014492,22.68148148148148,32.927289377289384,28.18097826086957,22.327128623188404,0.1663925925925926,0.2158621794871795,0.3942653985507246,0.2729375,bankura
2004,29.13186813186814,36.57912087912088,30.597826086956527,27.45652173913044,15.374725274725272,26.16813186813187,24.98152173913044,17.213043478260868,22.231868131868133,30.924175824175823,27.164130434782606,22.088043478260868,0.1131868131868132,3.9890109890109886,6.892391304347826,1.7804347826086957,10.91978021978022,14.53736263736264,13.3,9.690217391304348,56.01327838827839,63.70970695970696,86.54664855072464,70.14583333333333,23.99271978021978,32.943772893772895,28.077717391304347,23.34895833333333,0.1395572344322344,0.2312577838827839,0.3960203804347826,0.2028034420289854,bankura
2005,28.857777777777777,37.63846153846154,31.186956521739127,26.70434782608696,16.538888888888888,26.21978021978022,25.38804347826087,16.61195652173913,22.52111111111111,31.482417582417582,27.75434782608696,21.33804347826087,0.8566666666666668,2.823076923076924,6.060869565217391,2.5423913043478263,11.416666666666666,14.508791208791209,13.264130434782611,9.717391304347824,62.16481481481482,61.42628205128205,84.57246376811594,73.8768115942029,24.18143518518519,34.045833333333334,28.71132246376812,22.280389492753624,0.1577504629629629,0.1884281135531135,0.3848795289855072,0.2434334239130434,bankura
2006,29.90111111111112,35.060439560439555,30.68260869565217,28.42065217391304,15.667777777777776,25.53516483516484,25.11413043478261,17.952173913043477,22.792222222222225,29.823076923076925,27.336956521739136,22.95326086956522,0.0711111111111111,3.0362637362637366,8.788043478260871,0.3652173913043477,11.173333333333334,12.732967032967034,14.465217391304352,9.006521739130434,54.09027777777778,69.88232600732601,86.04257246376811,70.20561594202898,24.50560185185185,31.881959706959712,28.223233695652173,24.13396739130435,0.132862962962963,0.2453965201465201,0.395351902173913,0.1983763586956521,bankura
