District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Crop,State
24 PARAGANAS NORTH, 1997-98,Whole Year ,1345,1274,0.947211896,Arecanut,West Bengal
24 PARAGANAS NORTH, 1998-99,Whole Year ,1383,2196,1.587852495,Arecanut,West Bengal
24 PARAGANAS NORTH, 1999-00,Whole Year ,1410,2280,1.617021277,Arecanut,West Bengal
24 PARAGANAS NORTH, 2000-01,Whole Year ,1405,2713,1.930960854,Arecanut,West Bengal
24 PARAGANAS NORTH, 2001-02,Whole Year ,1452,2680,1.845730028,Arecanut,West Bengal
24 PARAGANAS NORTH, 2002-03,Whole Year ,1486,3856,2.594885599,Arecanut,West Bengal
24 PARAGANAS NORTH, 2003-04,Whole Year ,1540,4457,2.894155844,Arecanut,West Bengal
24 PARAGANAS NORTH, 2005-06,Whole Year ,1597,8189,5.127739512,Arecanut,West Bengal
24 PARAGANAS NORTH, 2006-07,Whole Year ,1627,1775,1.090964966,Arecanut,West Bengal
24 PARAGANAS NORTH, 2007-08,Whole Year ,1673,4454,2.662283323,Arecanut,West Bengal
24 PARAGANAS NORTH, 2008-09,Whole Year ,1673,4454,2.662283323,Arecanut,West Bengal
24 PARAGANAS SOUTH, 1997-98,Whole Year ,810,1620,2,Arecanut,West Bengal
24 PARAGANAS SOUTH, 1998-99,Whole Year ,810,1620,2,Arecanut,West Bengal
24 PARAGANAS SOUTH, 1999-00,Whole Year ,810,1620,2,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2000-01,Whole Year ,760,570,0.75,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2001-02,Whole Year ,875,1575,1.8,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2002-03,Whole Year ,889,1645,1.850393701,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2003-04,Whole Year ,880,1760,2,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2005-06,Whole Year ,777,1249,1.607464607,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2006-07,Whole Year ,798,1286,1.611528822,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2007-08,Whole Year ,905,1295,1.430939227,Arecanut,West Bengal
24 PARAGANAS SOUTH, 2008-09,Whole Year ,915,1295,1.415300546,Arecanut,West Bengal
BANKURA, 1997-98,Whole Year ,5,12,2.4,Arecanut,West Bengal
BANKURA, 1998-99,Whole Year ,4,,0,Arecanut,West Bengal
BANKURA, 1999-00,Whole Year ,4,8,2,Arecanut,West Bengal
BANKURA, 2000-01,Whole Year ,4,8,2,Arecanut,West Bengal
BANKURA, 2001-02,Whole Year ,4,8,2,Arecanut,West Bengal
BANKURA, 2002-03,Whole Year ,5,92,18.4,Arecanut,West Bengal
BANKURA, 2003-04,Whole Year ,20,58,2.9,Arecanut,West Bengal
BANKURA, 2005-06,Whole Year ,30,31,1.033333333,Arecanut,West Bengal
BANKURA, 2006-07,Whole Year ,34,28,0.823529412,Arecanut,West Bengal
BANKURA, 2007-08,Whole Year ,34,28,0.823529412,Arecanut,West Bengal
BANKURA, 2008-09,Whole Year ,34,28,0.823529412,Arecanut,West Bengal
BIRBHUM, 1997-98,Whole Year ,17,22,1.294117647,Arecanut,West Bengal
BIRBHUM, 1998-99,Whole Year ,14,14,1,Arecanut,West Bengal
BIRBHUM, 1999-00,Whole Year ,14,15,1.071428571,Arecanut,West Bengal
BIRBHUM, 2000-01,Whole Year ,12,14,1.166666667,Arecanut,West Bengal
BIRBHUM, 2001-02,Whole Year ,11,13,1.181818182,Arecanut,West Bengal
BIRBHUM, 2002-03,Whole Year ,14,17,1.214285714,Arecanut,West Bengal
BIRBHUM, 2003-04,Whole Year ,22,29,1.318181818,Arecanut,West Bengal
BIRBHUM, 2005-06,Whole Year ,22,26,1.181818182,Arecanut,West Bengal
BIRBHUM, 2006-07,Whole Year ,22,43,1.954545455,Arecanut,West Bengal
BIRBHUM, 2007-08,Whole Year ,36,58,1.611111111,Arecanut,West Bengal
BIRBHUM, 2008-09,Whole Year ,39,63,1.615384615,Arecanut,West Bengal
COOCHBEHAR, 1997-98,Whole Year ,1500,3300,2.2,Arecanut,West Bengal
COOCHBEHAR, 1998-99,Whole Year ,1500,3300,2.2,Arecanut,West Bengal
COOCHBEHAR, 1999-00,Whole Year ,950,2090,2.2,Arecanut,West Bengal
COOCHBEHAR, 2000-01,Whole Year ,1000,1500,1.5,Arecanut,West Bengal
COOCHBEHAR, 2001-02,Whole Year ,1025,1538,1.500487805,Arecanut,West Bengal
COOCHBEHAR, 2002-03,Whole Year ,1050,1575,1.5,Arecanut,West Bengal
COOCHBEHAR, 2003-04,Whole Year ,1050,1575,1.5,Arecanut,West Bengal
COOCHBEHAR, 2005-06,Whole Year ,1146,5730,5,Arecanut,West Bengal
COOCHBEHAR, 2006-07,Whole Year ,16000,92000,5.75,Arecanut,West Bengal
COOCHBEHAR, 2007-08,Whole Year ,2670,3000,1.123595506,Arecanut,West Bengal
COOCHBEHAR, 2008-09,Whole Year ,2575,3200,1.242718447,Arecanut,West Bengal
DARJEELING, 1997-98,Whole Year ,236,79,0.334745763,Arecanut,West Bengal
DARJEELING, 1998-99,Whole Year ,246,82,0.333333333,Arecanut,West Bengal
DARJEELING, 1999-00,Whole Year ,259,537,2.073359073,Arecanut,West Bengal
DARJEELING, 2000-01,Whole Year ,259,537,2.073359073,Arecanut,West Bengal
DARJEELING, 2001-02,Whole Year ,285,592,2.077192982,Arecanut,West Bengal
DARJEELING, 2002-03,Whole Year ,247,482,1.951417004,Arecanut,West Bengal
DARJEELING, 2003-04,Whole Year ,248,487,1.963709677,Arecanut,West Bengal
DARJEELING, 2005-06,Whole Year ,201,694,3.452736318,Arecanut,West Bengal
DARJEELING, 2006-07,Whole Year ,291,699,2.402061856,Arecanut,West Bengal
DARJEELING, 2007-08,Whole Year ,294,640,2.176870748,Arecanut,West Bengal
DARJEELING, 2008-09,Whole Year ,294,540,1.836734694,Arecanut,West Bengal
DINAJPUR DAKSHIN, 1997-98,Whole Year ,49,59,1.204081633,Arecanut,West Bengal
DINAJPUR DAKSHIN, 1998-99,Whole Year ,50,56,1.12,Arecanut,West Bengal
DINAJPUR DAKSHIN, 1999-00,Whole Year ,51,63,1.235294118,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2000-01,Whole Year ,51,64,1.254901961,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2001-02,Whole Year ,1246,1520,1.219903692,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2002-03,Whole Year ,51,64,1.254901961,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2003-04,Whole Year ,60,74,1.233333333,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2005-06,Whole Year ,64,63,0.984375,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2006-07,Whole Year ,73,72,0.98630137,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2007-08,Whole Year ,74,74,1,Arecanut,West Bengal
DINAJPUR DAKSHIN, 2008-09,Whole Year ,89,78,0.876404494,Arecanut,West Bengal
DINAJPUR UTTAR, 1997-98,Whole Year ,160,796,4.975,Arecanut,West Bengal
DINAJPUR UTTAR, 1998-99,Whole Year ,175,879,5.022857143,Arecanut,West Bengal
DINAJPUR UTTAR, 1999-00,Whole Year ,182,1000,5.494505495,Arecanut,West Bengal
DINAJPUR UTTAR, 2000-01,Whole Year ,183,1015,5.546448087,Arecanut,West Bengal
DINAJPUR UTTAR, 2001-02,Whole Year ,197,917,4.654822335,Arecanut,West Bengal
DINAJPUR UTTAR, 2002-03,Whole Year ,345,1665,4.826086957,Arecanut,West Bengal
DINAJPUR UTTAR, 2003-04,Whole Year ,355,2143,6.036619718,Arecanut,West Bengal
DINAJPUR UTTAR, 2005-06,Whole Year ,356,4313,12.11516854,Arecanut,West Bengal
DINAJPUR UTTAR, 2006-07,Whole Year ,356,392,1.101123596,Arecanut,West Bengal
DINAJPUR UTTAR, 2007-08,Whole Year ,390,618,1.584615385,Arecanut,West Bengal
DINAJPUR UTTAR, 2008-09,Whole Year ,405,542,1.338271605,Arecanut,West Bengal
HOOGHLY, 1997-98,Whole Year ,175,343,1.96,Arecanut,West Bengal
HOOGHLY, 1998-99,Whole Year ,178,338,1.898876404,Arecanut,West Bengal
HOOGHLY, 1999-00,Whole Year ,178,338,1.898876404,Arecanut,West Bengal
HOOGHLY, 2000-01,Whole Year ,178,329,1.848314607,Arecanut,West Bengal
HOOGHLY, 2001-02,Whole Year ,178,338,1.898876404,Arecanut,West Bengal
HOOGHLY, 2002-03,Whole Year ,180,450,2.5,Arecanut,West Bengal
HOOGHLY, 2003-04,Whole Year ,180,461,2.561111111,Arecanut,West Bengal
HOOGHLY, 2005-06,Whole Year ,122,360,2.950819672,Arecanut,West Bengal
HOOGHLY, 2006-07,Whole Year ,146,423,2.897260274,Arecanut,West Bengal
HOOGHLY, 2007-08,Whole Year ,150,227,1.513333333,Arecanut,West Bengal
HOOGHLY, 2008-09,Whole Year ,150,227,1.513333333,Arecanut,West Bengal
HOWRAH, 1997-98,Whole Year ,567,1145,2.019400353,Arecanut,West Bengal
HOWRAH, 1998-99,Whole Year ,577,1168,2.024263432,Arecanut,West Bengal
HOWRAH, 1999-00,Whole Year ,464,940,2.025862069,Arecanut,West Bengal
HOWRAH, 2000-01,Whole Year ,468,981,2.096153846,Arecanut,West Bengal
HOWRAH, 2001-02,Whole Year ,458,1099,2.399563319,Arecanut,West Bengal
HOWRAH, 2002-03,Whole Year ,478,1031,2.156903766,Arecanut,West Bengal
HOWRAH, 2003-04,Whole Year ,489,1064,2.175869121,Arecanut,West Bengal
HOWRAH, 2005-06,Whole Year ,501,1046,2.087824351,Arecanut,West Bengal
HOWRAH, 2006-07,Whole Year ,503,1023,2.033797217,Arecanut,West Bengal
HOWRAH, 2007-08,Whole Year ,504,1050,2.083333333,Arecanut,West Bengal
HOWRAH, 2008-09,Whole Year ,524,1050,2.003816794,Arecanut,West Bengal
JALPAIGURI, 1997-98,Whole Year ,2070,2122,1.025120773,Arecanut,West Bengal
JALPAIGURI, 1998-99,Whole Year ,2080,2184,1.05,Arecanut,West Bengal
JALPAIGURI, 1999-00,Whole Year ,2095,2284,1.090214797,Arecanut,West Bengal
JALPAIGURI, 2000-01,Whole Year ,2080,2257,1.085096154,Arecanut,West Bengal
JALPAIGURI, 2001-02,Whole Year ,2090,2268,1.085167464,Arecanut,West Bengal
JALPAIGURI, 2002-03,Whole Year ,2800,3080,1.1,Arecanut,West Bengal
JALPAIGURI, 2003-04,Whole Year ,2707,3045,1.12486147,Arecanut,West Bengal
JALPAIGURI, 2005-06,Whole Year ,2856,5686,1.990896359,Arecanut,West Bengal
JALPAIGURI, 2006-07,Whole Year ,2775,6299,2.26990991,Arecanut,West Bengal
JALPAIGURI, 2007-08,Whole Year ,2810,6399,2.277224199,Arecanut,West Bengal
JALPAIGURI, 2008-09,Whole Year ,2825,6289,2.22619469,Arecanut,West Bengal
MALDAH, 1997-98,Whole Year ,22,26,1.181818182,Arecanut,West Bengal
MALDAH, 1998-99,Whole Year ,22,26,1.181818182,Arecanut,West Bengal
MALDAH, 1999-00,Whole Year ,25,30,1.2,Arecanut,West Bengal
MALDAH, 2000-01,Whole Year ,26,31,1.192307692,Arecanut,West Bengal
MALDAH, 2001-02,Whole Year ,26,30,1.153846154,Arecanut,West Bengal
MALDAH, 2002-03,Whole Year ,26,47,1.807692308,Arecanut,West Bengal
MALDAH, 2003-04,Whole Year ,27,49,1.814814815,Arecanut,West Bengal
MALDAH, 2005-06,Whole Year ,28,50,1.785714286,Arecanut,West Bengal
MALDAH, 2006-07,Whole Year ,30,54,1.8,Arecanut,West Bengal
MALDAH, 2007-08,Whole Year ,46,71,1.543478261,Arecanut,West Bengal
MALDAH, 2008-09,Whole Year ,48,73,1.520833333,Arecanut,West Bengal
MEDINIPUR EAST, 1997-98,Whole Year ,632,1003,1.587025316,Arecanut,West Bengal
MEDINIPUR EAST, 1998-99,Whole Year ,718,1134,1.579387187,Arecanut,West Bengal
MEDINIPUR EAST, 1999-00,Whole Year ,781,1289,1.650448143,Arecanut,West Bengal
MEDINIPUR EAST, 2000-01,Whole Year ,840,1386,1.65,Arecanut,West Bengal
MEDINIPUR EAST, 2001-02,Whole Year ,893,1475,1.651735722,Arecanut,West Bengal
MEDINIPUR EAST, 2002-03,Whole Year ,894,1477,1.65212528,Arecanut,West Bengal
MEDINIPUR EAST, 2003-04,Whole Year ,940,2350,2.5,Arecanut,West Bengal
MEDINIPUR EAST, 2005-06,Whole Year ,982,251,0.255600815,Arecanut,West Bengal
MEDINIPUR EAST, 2006-07,Whole Year ,1000,266,0.266,Arecanut,West Bengal
MEDINIPUR EAST, 2007-08,Whole Year ,1020,1260,1.235294118,Arecanut,West Bengal
MEDINIPUR EAST, 2008-09,Whole Year ,1025,1610,1.570731707,Arecanut,West Bengal
MEDINIPUR WEST, 1997-98,Whole Year ,77,95,1.233766234,Arecanut,West Bengal
MEDINIPUR WEST, 1998-99,Whole Year ,78,65,0.833333333,Arecanut,West Bengal
MEDINIPUR WEST, 1999-00,Whole Year ,78,65,0.833333333,Arecanut,West Bengal
MEDINIPUR WEST, 2000-01,Whole Year ,85,109,1.282352941,Arecanut,West Bengal
MEDINIPUR WEST, 2001-02,Whole Year ,86,111,1.290697674,Arecanut,West Bengal
MEDINIPUR WEST, 2002-03,Whole Year ,125,299,2.392,Arecanut,West Bengal
MEDINIPUR WEST, 2003-04,Whole Year ,126,202,1.603174603,Arecanut,West Bengal
MEDINIPUR WEST, 2005-06,Whole Year ,124,131,1.056451613,Arecanut,West Bengal
MEDINIPUR WEST, 2006-07,Whole Year ,135,157,1.162962963,Arecanut,West Bengal
MEDINIPUR WEST, 2007-08,Whole Year ,135,170,1.259259259,Arecanut,West Bengal
MEDINIPUR WEST, 2008-09,Whole Year ,139,175,1.258992806,Arecanut,West Bengal
MURSHIDABAD, 1997-98,Whole Year ,56,38,0.678571429,Arecanut,West Bengal
MURSHIDABAD, 1998-99,Whole Year ,56,84,1.5,Arecanut,West Bengal
MURSHIDABAD, 1999-00,Whole Year ,25,37,1.48,Arecanut,West Bengal
MURSHIDABAD, 2000-01,Whole Year ,50,100,2,Arecanut,West Bengal
MURSHIDABAD, 2001-02,Whole Year ,53,106,2,Arecanut,West Bengal
MURSHIDABAD, 2002-03,Whole Year ,70,124,1.771428571,Arecanut,West Bengal
MURSHIDABAD, 2003-04,Whole Year ,71,113,1.591549296,Arecanut,West Bengal
MURSHIDABAD, 2005-06,Whole Year ,75,130,1.733333333,Arecanut,West Bengal
MURSHIDABAD, 2006-07,Whole Year ,81,142,1.75308642,Arecanut,West Bengal
MURSHIDABAD, 2007-08,Whole Year ,80,160,2,Arecanut,West Bengal
MURSHIDABAD, 2008-09,Whole Year ,82,160,1.951219512,Arecanut,West Bengal
NADIA, 1997-98,Whole Year ,235,194,0.825531915,Arecanut,West Bengal
NADIA, 1998-99,Whole Year ,242,206,0.851239669,Arecanut,West Bengal
NADIA, 1999-00,Whole Year ,243,208,0.855967078,Arecanut,West Bengal
NADIA, 2000-01,Whole Year ,264,264,1,Arecanut,West Bengal
NADIA, 2001-02,Whole Year ,282,283,1.003546099,Arecanut,West Bengal
NADIA, 2002-03,Whole Year ,301,304,1.009966777,Arecanut,West Bengal
NADIA, 2003-04,Whole Year ,319,321,1.006269592,Arecanut,West Bengal
NADIA, 2005-06,Whole Year ,356,981,2.755617978,Arecanut,West Bengal
NADIA, 2006-07,Whole Year ,365,1010,2.767123288,Arecanut,West Bengal
NADIA, 2007-08,Whole Year ,358,982,2.74301676,Arecanut,West Bengal
NADIA, 2008-09,Whole Year ,358,982,2.74301676,Arecanut,West Bengal
PURBA BARDHAMAN, 1997-98,Whole Year ,102,295,2.892156863,Arecanut,West Bengal
PURBA BARDHAMAN, 1998-99,Whole Year ,106,313,2.952830189,Arecanut,West Bengal
PURBA BARDHAMAN, 1999-00,Whole Year ,108,320,2.962962963,Arecanut,West Bengal
PURBA BARDHAMAN, 2000-01,Whole Year ,108,313,2.898148148,Arecanut,West Bengal
PURBA BARDHAMAN, 2001-02,Whole Year ,115,332,2.886956522,Arecanut,West Bengal
PURBA BARDHAMAN, 2002-03,Whole Year ,120,360,3,Arecanut,West Bengal
PURBA BARDHAMAN, 2003-04,Whole Year ,130,329,2.530769231,Arecanut,West Bengal
PURBA BARDHAMAN, 2005-06,Whole Year ,126,357,2.833333333,Arecanut,West Bengal
